Date,Close,Open,High,Low
25-02-2009,126.211,125.271,127.975,125.14
26-02-2009,123.128,122.697,123.677,121.77
27-02-2009,123.115,124.696,129.033,121.091
02-03-2009,122.789,123.912,124.487,121.692
03-03-2009,119.34,120.699,121.483,118.308
04-03-2009,118.439,119.275,120.66,118.282
05-03-2009,121.195,119.419,121.443,118.609
06-03-2009,123.141,122.528,123.507,121.561
09-03-2009,119.917,122.51,122.904,119.23
10-03-2009,117.027,119.214,119.676,116.604
11-03-2009,118.966,117.724,119.37,116.709
12-03-2009,120.7,119.857,121.597,118.53
13-03-2009,121.508,121.025,122.941,120.387
16-03-2009,120.452,120.7,121.13,119.605
17-03-2009,119.774,120.165,120.348,119.214
18-03-2009,116.152,119.175,119.292,115.331
19-03-2009,125.235,123.267,125.821,123.267
20-03-2009,124.909,124.844,125.339,123.658
23-03-2009,124.427,124.166,124.778,123.514
24-03-2009,120.674,121.508,121.612,119.826
25-03-2009,122.237,120.23,123.045,119.683
26-03-2009,122.785,122.785,123.606,122.042
27-03-2009,120.582,120.856,121.247,120.022
30-03-2009,119.592,119.292,121.807,119.045
31-03-2009,120.543,119.931,120.791,119.058
01-04-2009,120.895,121.025,121.951,119.957
02-04-2009,118.445,119.175,119.618,116.777
03-04-2009,116.933,117.924,118.823,116.712
06-04-2009,113.741,114.887,115.109,112.724
07-04-2009,115.109,114.262,115.578,113.897
08-04-2009,115.448,115.252,116.204,114.575
09-04-2009,115.109,115.317,115.383,114.158
10-04-2009,115.109,115.317,115.383,114.158
13-04-2009,116.738,115.591,117.442,115.591
14-04-2009,116.243,116.595,116.647,115.604
15-04-2009,116.438,116.699,117.559,115.487
16-04-2009,114.653,115.995,116.634,114.366
17-04-2009,113.102,113.506,114.027,112.802
20-04-2009,115.656,113.715,115.943,113.715
21-04-2009,115.031,116.178,116.816,114.874
22-04-2009,116.308,115.383,116.608,115.213
23-04-2009,118.145,116.569,118.641,116.243
24-04-2009,119.123,118.732,119.292,117.95
27-04-2009,118.354,119.032,119.175,118.041
